age,education_level,occupation,years_of_experience,hours_per_week,gender,country,industry,salary
18,Bachelor's,Sales Executive,0.0,32.9,Female,India,Manufacturing,35694.73
35,Bachelor's,Operations Manager,11.5,44.2,Male,Australia,Manufacturing,105130.14
47,Bachelor's,Data Analyst,17.2,52.0,Male,Germany,Healthcare,157262.98
42,PhD,Marketing Manager,6.5,46.8,Female,India,Retail,66453.5
34,High School,Operations Manager,4.7,49.2,Female,Germany,Technology,97586.98
27,High School,Product Manager,9.0,33.9,Male,USA,Technology,169014.71
26,High School,Product Manager,5.6,39.1,Female,UK,Manufacturing,115760.56
34,High School,HR Specialist,7.8,46.6,Female,Australia,Finance,116187.76
57,High School,HR Specialist,8.0,37.9,Male,UK,Finance,99128.55
36,High School,Operations Manager,11.6,41.9,Male,Australia,Technology,134943.86
30,Master's,Mechanical Engineer,5.6,55.3,Female,Australia,Manufacturing,151188.04
52,Bachelor's,Mechanical Engineer,15.6,38.1,Female,India,Healthcare,51844.12
44,High School,HR Specialist,14.5,43.3,Male,Australia,Healthcare,115160.59
40,High School,Customer Support,3.8,53.7,Female,USA,Retail,94058.76
36,High School,Marketing Manager,13.4,49.2,Female,India,Education,39225.95
27,Bachelor's,Product Manager,0.7,46.2,Male,UK,Retail,97966.86
40,Master's,Customer Support,16.0,46.8,Female,UK,Healthcare,157176.7
47,Master's,Financial Analyst,17.2,31.3,Female,Germany,Manufacturing,138255.48
46,Master's,Product Manager,12.2,44.1,Male,India,Retail,62597.41
28,PhD,Sales Executive,0.0,33.3,Male,Canada,Healthcare,153457.69
32,Bachelor's,Operations Manager,8.8,36.4,Other,USA,Manufacturing,133298.37
41,High School,Mechanical Engineer,6.3,20.4,Male,Canada,Healthcare,94721.09
32,Master's,Customer Support,7.8,28.6,Female,USA,Education,120521.05
29,Master's,Software Engineer,1.7,37.6,Female,USA,Finance,258101.86
42,Bachelor's,Product Manager,11.5,50.7,Female,Australia,Healthcare,185219.38
47,PhD,Product Manager,8.3,36.2,Male,Germany,Healthcare,193374.71
33,Master's,HR Specialist,8.5,39.3,Female,Canada,Technology,154228.18
20,High School,HR Specialist,0.0,42.2,Male,Canada,Retail,63344.04
34,Bachelor's,Software Engineer,9.1,32.0,Male,Canada,Healthcare,152290.33
26,PhD,Financial Analyst,0.1,40.1,Male,India,Healthcare,78181.66
47,Bachelor's,Customer Support,19.0,28.2,Male,Germany,Healthcare,112562.37
52,Master's,Product Manager,16.8,38.7,Male,Canada,Manufacturing,170664.01
48,PhD,HR Specialist,20.7,30.5,Female,India,Retail,47958.11
48,Bachelor's,HR Specialist,14.7,28.4,Female,Australia,Retail,108442.6
36,High School,Operations Manager,10.5,38.2,Female,UK,Manufacturing,94479.94
29,PhD,Customer Support,11.0,41.7,Female,India,Retail,56840.41
36,Bachelor's,Customer Support,12.7,29.9,Male,UK,Finance,122391.78
40,High School,HR Specialist,9.0,34.3,Male,UK,Technology,104974.65
34,Master's,Customer Support,9.2,58.5,Female,UK,Education,119904.9
46,Master's,HR Specialist,13.2,40.5,Male,India,Manufacturing,51097.38
45,High School,Customer Support,15.2,55.4,Male,USA,Finance,123248.74
35,PhD,Software Engineer,12.5,49.1,Male,Australia,Retail,184600.13
38,Bachelor's,Software Engineer,16.5,44.2,Other,India,Retail,55171.26
42,Bachelor's,Operations Manager,14.0,49.8,Female,Australia,Manufacturing,117259.02
37,Bachelor's,Sales Executive,7.7,42.1,Female,India,Healthcare,54784.57
25,Bachelor's,Customer Support,0.0,23.2,Male,USA,Retail,101403.81
55,Master's,Operations Manager,14.3,45.5,Male,Germany,Retail,111303.5
23,High School,Data Analyst,3.2,26.3,Male,Canada,Healthcare,86626.33
57,Master's,Product Manager,26.8,48.0,Female,India,Retail,61994.21
32,High School,Operations Manager,7.2,33.3,Male,Canada,Manufacturing,87871.6
33,Bachelor's,Financial Analyst,9.3,35.8,Female,Germany,Finance,173922.31
33,Master's,Data Analyst,7.6,42.1,Female,UK,Retail,133589.37
36,Bachelor's,Customer Support,12.2,,Male,Australia,Retail,104930.81
54,Bachelor's,Mechanical Engineer,18.1,42.8,Female,Germany,Healthcare,164211.37
57,Master's,Customer Support,20.5,46.3,Female,Canada,Technology,187547.75
53,High School,Operations Manager,22.0,35.3,Female,Canada,Technology,115401.67
37,High School,Mechanical Engineer,10.3,28.5,Male,Australia,Education,74320.4
45,High School,Customer Support,10.0,32.0,Male,Australia,Retail,74551.29
30,High School,Product Manager,1.5,49.6,Male,Australia,Manufacturing,109604.59
34,Bachelor's,Software Engineer,9.2,37.6,Female,Australia,Manufacturing,138221.71
30,Bachelor's,Operations Manager,4.7,37.4,Male,Germany,Healthcare,132897.17
34,High School,HR Specialist,7.9,39.4,Other,Australia,Finance,101804.15
33,Bachelor's,Data Analyst,14.4,20.0,Male,Germany,Healthcare,129019.41
18,High School,Financial Analyst,0.0,49.0,Male,Germany,Technology,121012.5
33,Master's,Software Engineer,2.3,38.0,Female,UK,Manufacturing,154394.56
23,PhD,Product Manager,5.0,39.1,Female,Germany,Manufacturing,190086.45
23,Bachelor's,Mechanical Engineer,0.0,42.8,Female,Germany,Manufacturing,119336.13
44,Bachelor's,Data Analyst,15.6,40.5,Male,Canada,Finance,158785.6
38,PhD,HR Specialist,4.6,42.3,Female,USA,Technology,218536.84
36,PhD,HR Specialist,12.2,42.9,Female,UK,Finance,192290.59
42,Master's,HR Specialist,14.2,54.5,Female,India,Healthcare,55483.01
28,High School,Product Manager,7.9,39.8,Male,Germany,Education,82008.84
23,High School,Operations Manager,5.0,26.5,Male,Australia,Finance,94864.33
41,Bachelor's,Marketing Manager,10.3,38.7,Female,Germany,Retail,101675.37
45,Master's,Marketing Manager,12.6,46.1,Female,Germany,Retail,111336.88
40,Master's,Mechanical Engineer,11.1,53.9,Male,USA,Healthcare,220966.3
49,High School,Software Engineer,17.1,38.7,Male,Germany,Retail,98999.27
32,High School,Data Analyst,8.2,36.4,Female,USA,Finance,141597.65
34,Master's,Product Manager,5.2,46.6,Other,India,Retail,57363.05
30,High School,Data Analyst,0.0,26.7,Male,India,Education,28879.09
41,Master's,Customer Support,15.7,45.1,Female,USA,Manufacturing,158434.79
24,Bachelor's,Product Manager,3.5,43.9,Male,Australia,Manufacturing,131055.17
54,Bachelor's,Financial Analyst,9.7,34.0,Male,USA,Technology,220959.64
35,Bachelor's,Sales Executive,14.6,29.9,Male,Germany,Retail,100322.94
19,Bachelor's,HR Specialist,0.0,37.7,Female,Germany,Finance,127118.28
55,Bachelor's,Data Analyst,19.3,52.8,Male,USA,Healthcare,222708.26
41,PhD,Software Engineer,9.6,40.2,Male,USA,Education,188102.7
39,Bachelor's,Sales Executive,9.3,42.7,Male,UK,Technology,142358.86
51,Bachelor's,Product Manager,16.6,52.5,Male,USA,Manufacturing,165667.82
55,High School,Software Engineer,17.0,49.5,Other,Australia,Manufacturing,127597.6
33,Bachelor's,Marketing Manager,7.3,36.6,Female,USA,Manufacturing,143718.79
34,High School,Product Manager,10.1,47.0,Female,Canada,Education,94405.47
38,High School,Customer Support,3.3,38.5,Female,UK,Education,69926.73
47,Master's,Product Manager,16.4,50.2,Female,UK,Technology,255205.23
54,Bachelor's,Financial Analyst,16.3,32.5,Male,Australia,Finance,195505.19
39,Master's,Customer Support,18.1,51.5,Female,UK,Finance,149817.85
32,PhD,Software Engineer,2.6,39.7,Male,India,Manufacturing,55048.85
31,High School,Mechanical Engineer,9.4,43.3,Female,Canada,Finance,116960.3
24,Master's,Software Engineer,0.0,44.5,Female,India,Retail,55669.93
40,Master's,Marketing Manager,4.5,46.2,Female,India,Manufacturing,52551.67
43,Bachelor's,Operations Manager,11.8,42.1,Female,UK,Education,109921.16
21,Bachelor's,Software Engineer,0.0,45.9,Female,Canada,Manufacturing,113443.34
48,High School,Customer Support,9.8,33.7,Female,India,Education,29876.59
31,PhD,Operations Manager,11.6,39.9,Male,Germany,Retail,144039.04
44,High School,Software Engineer,11.2,35.2,Male,UK,Manufacturing,101024.42
37,Bachelor's,Financial Analyst,9.2,46.3,Male,UK,Manufacturing,126680.15
42,High School,Marketing Manager,13.6,42.2,Male,Canada,Education,76665.87
38,Bachelor's,Data Analyst,14.3,45.5,Male,Australia,Manufacturing,135884.0
51,High School,Sales Executive,17.5,49.0,Female,Germany,Retail,81680.27
39,Bachelor's,Mechanical Engineer,7.2,40.4,Female,UK,Education,115428.31
21,High School,Sales Executive,0.1,55.5,Male,Australia,Retail,76821.29
37,Master's,Data Analyst,5.7,50.7,Female,Germany,Education,132488.95
37,Bachelor's,HR Specialist,13.0,52.1,Male,Canada,Manufacturing,119278.26
30,High School,Sales Executive,10.5,48.6,Male,India,Technology,44422.13
37,Bachelor's,Operations Manager,9.1,33.9,Female,Australia,Manufacturing,107286.06
24,PhD,Marketing Manager,6.0,42.7,Male,India,Technology,91275.41
45,Master's,Operations Manager,19.4,51.8,Other,India,Technology,82458.24
44,PhD,Financial Analyst,13.4,39.8,Female,UK,Healthcare,210117.92
54,High School,Operations Manager,18.1,50.4,Male,Canada,Manufacturing,97057.08
51,Bachelor's,Marketing Manager,12.7,40.6,Female,UK,Manufacturing,160527.7
29,Master's,Data Analyst,8.2,41.8,Male,Australia,Healthcare,179261.91
31,Master's,Software Engineer,2.1,55.8,Male,Germany,Manufacturing,149232.93
40,Bachelor's,Marketing Manager,11.2,47.5,Male,UK,Finance,175056.94
44,Master's,Customer Support,7.2,49.5,Male,India,Technology,68139.04
48,Bachelor's,Financial Analyst,10.8,45.5,Female,UK,Technology,191847.65
24,Bachelor's,Sales Executive,1.6,46.4,Male,India,Retail,40915.36
31,High School,Mechanical Engineer,8.8,64.8,Female,UK,Finance,128140.19
45,High School,Product Manager,19.5,40.2,Male,Germany,Manufacturing,110341.07
54,High School,Mechanical Engineer,20.4,41.8,Female,UK,Finance,123968.26
41,High School,Operations Manager,10.1,39.9,Female,Canada,Technology,115746.55
35,High School,Product Manager,8.9,35.8,Female,Australia,Education,92607.6
43,Bachelor's,Customer Support,7.4,36.2,Female,India,Retail,38791.06
42,High School,Customer Support,13.6,46.1,Female,Canada,Education,62174.63
36,Bachelor's,Product Manager,4.3,52.1,Male,Australia,Retail,153567.96
40,Bachelor's,Mechanical Engineer,11.8,38.6,Male,Germany,Healthcare,139670.96
25,Master's,HR Specialist,7.0,26.1,Male,USA,Technology,159721.44
47,Bachelor's,Product Manager,18.4,51.2,Male,USA,Retail,149569.67
32,High School,Mechanical Engineer,5.8,38.5,Male,Australia,Retail,85603.27
35,Bachelor's,Mechanical Engineer,5.4,35.3,Female,Australia,Manufacturing,124018.11
24,High School,Financial Analyst,4.6,42.7,Female,Australia,Retail,80533.86
44,High School,Data Analyst,13.3,42.8,Male,UK,Manufacturing,97302.91
33,Master's,Marketing Manager,4.3,56.3,Female,Australia,Retail,142341.01
47,PhD,Financial Analyst,8.2,41.4,Female,Canada,Finance,209656.73
48,Bachelor's,Sales Executive,13.4,55.1,Female,UK,Manufacturing,138103.38
32,Bachelor's,Data Analyst,2.7,41.1,Male,India,Finance,56499.64
27,Bachelor's,Data Analyst,9.0,47.8,Male,India,Manufacturing,45383.06
41,Master's,Software Engineer,12.5,44.7,Male,Canada,Finance,238129.32
46,Bachelor's,Data Analyst,15.1,47.2,Male,India,Finance,59634.41
33,High School,HR Specialist,4.8,28.3,Male,Germany,Finance,85565.83
30,Bachelor's,Marketing Manager,5.5,51.4,Female,Australia,Finance,159664.19
23,Bachelor's,Operations Manager,0.0,53.8,Male,Germany,Technology,139323.44
44,Bachelor's,Operations Manager,15.2,42.3,Male,Germany,Retail,104234.78
42,Master's,HR Specialist,11.8,45.2,Female,Canada,Manufacturing,137756.98
35,PhD,HR Specialist,1.4,29.4,Female,Australia,Technology,166532.78
36,High School,HR Specialist,7.0,33.0,Female,India,Healthcare,40166.73
50,Master's,Mechanical Engineer,17.7,25.8,Male,Australia,Finance,182173.08
48,Bachelor's,Product Manager,17.7,44.8,Female,Canada,Education,104719.99
57,PhD,Operations Manager,18.7,40.8,Male,Canada,Healthcare,198463.81
49,High School,Operations Manager,8.8,49.7,Male,Germany,Healthcare,108349.66
27,Bachelor's,Mechanical Engineer,3.1,42.3,Female,Canada,Finance,131141.53
49,High School,Marketing Manager,11.8,23.1,Male,USA,Finance,126598.31
32,Master's,Data Analyst,5.7,36.3,Female,Canada,Retail,133639.31
35,High School,Product Manager,4.8,47.6,Female,Germany,Education,81004.79
18,Bachelor's,Data Analyst,0.0,47.0,Male,India,Manufacturing,41226.09
34,Master's,Product Manager,7.9,46.3,Female,Germany,Finance,189058.85
47,High School,Operations Manager,18.1,47.3,Female,Canada,Retail,72888.64
42,Bachelor's,HR Specialist,9.6,46.9,Female,Germany,Technology,158074.28
48,High School,Marketing Manager,9.4,51.5,Female,India,Education,26608.52
49,PhD,HR Specialist,21.0,31.3,Female,UK,Retail,159448.03
43,High School,Customer Support,13.2,40.0,Female,Australia,Manufacturing,86863.35
30,High School,Mechanical Engineer,10.7,40.6,Female,Canada,Manufacturing,103641.04
28,PhD,Customer Support,4.2,45.0,Female,Canada,Technology,185613.44
33,Bachelor's,Data Analyst,7.5,41.9,Female,Canada,Technology,152156.61
36,High School,Software Engineer,10.9,37.0,Male,Australia,Technology,145852.32
52,Master's,Operations Manager,18.2,40.2,Male,Australia,Finance,188881.54
46,PhD,Product Manager,11.1,27.7,Female,Germany,Finance,223368.04
37,PhD,Marketing Manager,14.0,43.5,Male,USA,Finance,292664.73
46,High School,Operations Manager,13.2,45.3,Male,UK,Finance,116515.66
50,Master's,Software Engineer,14.6,55.7,Female,Australia,Manufacturing,182745.5
39,Bachelor's,Financial Analyst,7.3,28.6,Female,Australia,Retail,103085.93
24,High School,Mechanical Engineer,6.0,36.4,Female,Australia,Education,82528.66
30,High School,Operations Manager,6.8,47.8,Female,India,Education,33100.45
43,High School,Operations Manager,11.8,35.4,Female,Germany,Retail,73390.54
47,High School,Operations Manager,18.2,30.5,Female,Germany,Retail,79887.26
30,Bachelor's,Operations Manager,0.0,40.5,Female,Australia,Retail,103384.22
44,High School,Sales Executive,11.9,32.5,Male,Canada,Technology,110252.37
45,Bachelor's,HR Specialist,12.5,42.1,Female,UK,Healthcare,130655.05
56,Master's,Marketing Manager,23.0,36.8,Male,Germany,Manufacturing,146776.56
27,High School,Mechanical Engineer,6.9,31.9,Male,Germany,Retail,81613.99
38,Bachelor's,Operations Manager,3.0,24.8,Female,Canada,Healthcare,123411.31
46,Master's,Marketing Manager,17.2,46.2,Male,Canada,Retail,147968.99
44,High School,HR Specialist,19.0,48.3,Female,USA,Manufacturing,93495.1
36,Bachelor's,Financial Analyst,13.9,43.1,Male,Canada,Retail,124865.18
43,Bachelor's,Sales Executive,12.2,32.4,Male,Australia,Technology,138206.05
43,Bachelor's,Financial Analyst,12.9,31.3,Male,Canada,Finance,153002.21
41,Bachelor's,Customer Support,6.8,40.7,Male,USA,Healthcare,147010.3
45,Bachelor's,Data Analyst,19.9,39.3,Male,Australia,Manufacturing,133436.4
35,High School,Mechanical Engineer,6.7,43.1,Male,UK,Technology,130623.7
43,High School,Customer Support,6.0,45.6,Female,USA,Finance,119673.77
45,Bachelor's,Mechanical Engineer,12.3,43.8,Male,Australia,Finance,160468.74
32,High School,Sales Executive,14.0,42.4,Female,Germany,Retail,76713.32
34,Bachelor's,Marketing Manager,15.5,20.4,Female,India,Healthcare,50073.77
26,High School,HR Specialist,0.6,54.4,Male,Australia,Retail,82677.45
38,Master's,Sales Executive,16.6,40.0,Male,Canada,Finance,165876.84
31,PhD,Operations Manager,6.2,49.5,Male,Australia,Education,154321.83
31,High School,Mechanical Engineer,7.2,33.4,Female,UK,Education,69863.92
37,Bachelor's,Software Engineer,11.4,36.8,Other,India,Manufacturing,51422.63
24,Bachelor's,Marketing Manager,1.3,57.7,Female,Australia,Technology,178132.75
20,High School,Customer Support,2.0,43.9,Male,Canada,Healthcare,81394.66
29,High School,Mechanical Engineer,11.0,36.3,Male,Canada,Technology,139943.73
41,Bachelor's,Mechanical Engineer,8.2,33.2,Female,Germany,Retail,91833.38
31,Master's,Data Analyst,5.7,51.2,Male,India,Manufacturing,60227.22
36,Master's,HR Specialist,8.8,36.1,Male,USA,Technology,178661.48
51,Master's,Sales Executive,15.7,48.0,Male,Canada,Technology,184209.26
48,Bachelor's,Sales Executive,14.4,40.9,Male,UK,Manufacturing,106262.54
56,Bachelor's,Financial Analyst,20.7,,Male,Canada,Technology,198919.61
52,Bachelor's,Sales Executive,11.7,31.7,Male,USA,Retail,116405.67
32,Bachelor's,Marketing Manager,8.0,49.6,Male,UK,Finance,179558.4
25,Bachelor's,Operations Manager,3.8,46.1,Female,Germany,Manufacturing,109588.74
49,Master's,Product Manager,15.6,48.9,Female,Australia,Manufacturing,184633.11
42,High School,Product Manager,4.3,34.4,Female,Australia,Manufacturing,99234.71
56,Master's,Software Engineer,20.6,42.7,Male,UK,Healthcare,174206.85
42,High School,Data Analyst,11.8,39.7,Male,India,Manufacturing,38103.8
18,Master's,Customer Support,0.0,47.3,Male,Australia,Education,98489.99
32,Bachelor's,Product Manager,4.6,56.7,Female,Canada,Healthcare,166792.61
36,Master's,Operations Manager,7.0,47.8,Female,Canada,Finance,189712.96
32,Bachelor's,Financial Analyst,7.4,26.6,Male,USA,Finance,160670.55
36,High School,Financial Analyst,5.3,43.4,Female,Canada,Education,80455.17
42,Master's,Financial Analyst,11.9,48.7,Female,UK,Education,132516.41
42,High School,Operations Manager,13.0,28.5,Female,USA,Manufacturing,98609.28
40,Bachelor's,HR Specialist,18.3,34.7,Female,USA,Education,120076.52
31,Bachelor's,Customer Support,3.6,50.7,Female,India,Manufacturing,41485.95
40,High School,Customer Support,8.8,38.0,Male,Australia,Education,60972.01
39,High School,Operations Manager,6.4,39.4,Male,India,Retail,32703.3
31,Master's,Customer Support,2.9,36.0,Female,India,Education,38550.49
42,Bachelor's,Sales Executive,9.3,38.2,Female,Canada,Manufacturing,122330.76
45,Bachelor's,Sales Executive,12.5,56.0,Male,Canada,Finance,168456.81
42,Bachelor's,HR Specialist,15.7,38.5,Female,Germany,Technology,131720.25
36,PhD,Data Analyst,14.5,42.3,Female,USA,Education,203702.42
30,High School,Data Analyst,4.0,51.6,Female,UK,Finance,120339.58
40,Bachelor's,Software Engineer,10.2,44.4,Female,India,Retail,48746.65
36,Bachelor's,Sales Executive,5.9,40.7,Female,Germany,Technology,118821.67
28,Master's,Product Manager,0.0,38.5,Female,Australia,Healthcare,211125.28
18,Bachelor's,Operations Manager,0.0,46.7,Other,Australia,Healthcare,132709.45
44,PhD,Customer Support,7.3,47.1,Male,India,Finance,70889.77
31,Bachelor's,Customer Support,4.7,32.2,Male,Australia,Healthcare,93096.33
27,Bachelor's,Product Manager,0.0,41.3,Female,Australia,Technology,163599.97
42,Bachelor's,Software Engineer,9.2,41.9,Female,USA,Healthcare,155756.86
29,Bachelor's,HR Specialist,8.9,30.2,Male,Canada,Technology,147828.55
32,Bachelor's,Operations Manager,5.4,61.7,Male,UK,Education,116487.15
29,Master's,Mechanical Engineer,10.0,47.0,Female,USA,Finance,227174.44
43,Master's,Software Engineer,9.0,61.1,Female,Canada,Manufacturing,170505.39
41,Master's,Financial Analyst,18.9,43.7,Male,UK,Manufacturing,171831.0
49,Bachelor's,Financial Analyst,16.4,27.3,Male,USA,Manufacturing,143139.67
42,High School,Software Engineer,13.7,44.3,Male,Germany,Technology,135459.91
29,Bachelor's,Marketing Manager,3.5,33.4,Female,Canada,Retail,105535.28
52,High School,Data Analyst,13.6,40.7,Male,USA,Retail,102494.39
35,PhD,Data Analyst,13.1,37.8,Male,Canada,Manufacturing,143567.33
34,Master's,Financial Analyst,1.2,39.3,Other,USA,Finance,237643.66
52,Bachelor's,Software Engineer,27.1,33.3,Female,Australia,Education,116548.99
58,Bachelor's,Customer Support,25.5,45.4,Female,Canada,Retail,109064.53
37,High School,Data Analyst,5.9,40.8,Male,India,Healthcare,44090.56
46,Master's,Product Manager,15.4,55.0,Male,Germany,Manufacturing,174940.17
40,PhD,Marketing Manager,1.2,40.2,Male,Canada,Finance,204727.7
48,High School,Data Analyst,11.0,56.9,Male,Germany,Finance,134311.15
41,Bachelor's,Customer Support,11.0,36.9,Male,USA,Technology,167095.11
42,Master's,Customer Support,12.7,26.3,Female,Canada,Finance,160852.67
47,Master's,Operations Manager,10.8,59.0,Male,India,Education,45886.74
32,PhD,Mechanical Engineer,8.2,37.6,Male,Canada,Healthcare,179787.35
43,PhD,Financial Analyst,19.5,46.9,Male,Australia,Technology,258230.48
20,Bachelor's,Software Engineer,0.0,38.3,Other,Canada,Finance,161538.9
34,Master's,HR Specialist,6.2,56.1,Male,India,Retail,48881.71
25,PhD,HR Specialist,2.7,38.0,Female,India,Healthcare,70722.81
32,Master's,Mechanical Engineer,8.6,48.2,Male,Germany,Retail,115483.99
41,Bachelor's,Mechanical Engineer,14.2,45.1,Female,Germany,Finance,150290.43
44,Bachelor's,Sales Executive,18.6,54.0,Male,USA,Manufacturing,148974.21
53,High School,Mechanical Engineer,11.5,43.8,Male,Canada,Technology,116835.61
20,Master's,Operations Manager,1.4,57.9,Male,Australia,Finance,193211.42
43,Bachelor's,Software Engineer,9.6,35.2,Female,Germany,Technology,153314.97
37,Master's,Sales Executive,9.7,50.4,Female,India,Education,44806.56
38,PhD,Customer Support,12.3,51.1,Male,UK,Manufacturing,177786.96
38,Bachelor's,HR Specialist,14.5,50.0,Male,India,Education,43952.92
47,Bachelor's,Operations Manager,19.9,55.7,Male,UK,Retail,131494.82
41,Master's,Operations Manager,4.0,31.6,Male,UK,Healthcare,144613.96
42,Master's,Operations Manager,9.0,36.5,Female,India,Technology,70926.37
38,High School,Customer Support,17.7,42.5,Female,USA,Education,89483.03
51,High School,Mechanical Engineer,14.4,50.8,Male,Australia,Education,86401.0
40,Master's,Data Analyst,15.3,51.3,Male,Germany,Manufacturing,150709.35
55,High School,Sales Executive,20.4,46.4,Male,USA,Technology,148180.47
50,High School,Data Analyst,14.9,43.3,Male,India,Finance,55576.49
50,Bachelor's,Operations Manager,23.2,35.0,Female,UK,Education,114180.19
55,Bachelor's,Marketing Manager,10.5,57.5,Male,Canada,Technology,177992.54
33,Bachelor's,Software Engineer,11.7,41.6,Male,USA,Healthcare,159378.89
63,Master's,Marketing Manager,24.2,26.7,Male,Germany,Manufacturing,145069.23
34,Bachelor's,Mechanical Engineer,6.6,33.8,Female,Canada,Finance,133527.95
32,PhD,Data Analyst,14.0,41.9,Male,India,Healthcare,78846.11
30,High School,Sales Executive,2.7,47.2,Male,India,Manufacturing,32264.95
48,Bachelor's,Operations Manager,16.1,35.8,Other,UK,Technology,145376.07
45,PhD,Customer Support,12.5,39.5,Female,India,Finance,66060.08
52,Master's,Operations Manager,14.5,36.4,Male,UK,Healthcare,173651.91
34,Master's,Marketing Manager,10.9,48.4,Female,Germany,Finance,212798.66
28,High School,Operations Manager,2.3,45.1,Female,UK,Technology,124637.6
41,Master's,Mechanical Engineer,6.7,43.7,Male,Australia,Healthcare,176585.03
26,Bachelor's,Operations Manager,4.4,49.0,Female,USA,Healthcare,165557.23
58,PhD,Product Manager,20.6,46.1,Male,India,Retail,75045.14
37,Bachelor's,Data Analyst,13.1,41.0,Male,UK,Retail,129095.11
53,Master's,Financial Analyst,15.1,46.1,Male,Australia,Healthcare,228254.39
34,High School,Customer Support,10.1,53.3,Male,USA,Education,80559.62
26,High School,Software Engineer,2.7,32.7,Male,Germany,Finance,135558.99
47,High School,Financial Analyst,17.8,32.5,Male,Australia,Finance,137206.52
20,PhD,Sales Executive,2.0,41.5,Female,India,Retail,55668.17
54,High School,Sales Executive,19.3,33.4,Female,Australia,Retail,72836.06
53,High School,Product Manager,16.8,45.4,Female,Germany,Education,92667.38
34,Bachelor's,Marketing Manager,0.0,40.8,Male,Canada,Education,97237.02
40,Bachelor's,Sales Executive,10.7,40.4,Female,UK,Finance,149186.83
25,Master's,Customer Support,2.4,55.0,Male,Canada,Manufacturing,126566.95
32,Bachelor's,HR Specialist,2.1,44.4,Female,Canada,Finance,140539.01
18,Master's,Sales Executive,0.0,34.4,Male,India,Finance,48514.72
34,High School,HR Specialist,9.1,33.8,Male,UK,Education,74608.11
44,High School,Data Analyst,15.2,47.0,Male,Germany,Finance,106841.62
50,Bachelor's,Sales Executive,20.8,36.0,Female,USA,Manufacturing,153719.01
39,Bachelor's,Software Engineer,8.1,43.5,Female,India,Finance,68082.0
59,PhD,Customer Support,25.1,56.1,Other,Australia,Finance,229378.26
46,Bachelor's,Marketing Manager,8.5,34.5,Male,Canada,Manufacturing,125942.7
36,PhD,Marketing Manager,0.8,51.2,Female,India,Education,59853.19
37,Bachelor's,Financial Analyst,8.8,45.5,Female,Germany,Manufacturing,118961.49
33,Master's,Mechanical Engineer,1.3,40.6,Male,India,Finance,68709.92
57,Bachelor's,Operations Manager,19.2,44.4,Male,India,Healthcare,57632.87
29,Bachelor's,Sales Executive,6.5,41.7,Male,Australia,Finance,139793.92
64,Bachelor's,Financial Analyst,23.2,24.7,Male,Australia,Education,110742.42
55,Master's,Mechanical Engineer,20.2,26.5,Female,Germany,Education,125103.99
28,Bachelor's,Product Manager,0.7,46.5,Male,Germany,Education,95853.45
46,Bachelor's,Operations Manager,15.2,47.9,Male,UK,Manufacturing,140698.53
32,High School,Product Manager,6.7,35.7,Male,Canada,Education,94550.66
25,High School,Marketing Manager,5.9,36.1,Female,Australia,Manufacturing,82179.79
43,Master's,Product Manager,5.0,35.2,Female,USA,Education,148369.05
34,High School,Data Analyst,2.3,48.9,Male,USA,Finance,154458.55
52,Master's,HR Specialist,16.5,47.0,Female,India,Healthcare,64146.08
28,Bachelor's,Software Engineer,10.0,46.1,Male,Germany,Technology,177118.9
36,Bachelor's,Sales Executive,10.4,37.6,Female,Canada,Manufacturing,119406.83
38,Bachelor's,Data Analyst,1.5,44.3,Male,India,Finance,57592.02
34,Master's,Marketing Manager,3.5,33.8,Male,USA,Manufacturing,169064.82
53,High School,Marketing Manager,20.2,47.3,Female,Canada,Healthcare,105101.75
39,Bachelor's,Product Manager,11.4,46.8,Female,Australia,Technology,182906.46
21,High School,Mechanical Engineer,3.0,39.5,Female,USA,Education,99280.15
35,High School,Data Analyst,15.2,54.2,Female,UK,Finance,128517.52
36,High School,Marketing Manager,1.7,44.8,Male,Germany,Retail,80380.0
58,High School,Operations Manager,16.6,33.1,Female,USA,Finance,148010.92
41,Bachelor's,Customer Support,15.6,21.8,Male,Canada,Education,84440.54
20,PhD,Sales Executive,0.0,43.5,Female,India,Technology,83258.48
38,Master's,Product Manager,12.8,54.8,Female,Germany,Manufacturing,192905.91
18,Master's,Data Analyst,0.0,42.9,Female,India,Retail,49442.18
34,PhD,Software Engineer,5.3,52.2,Female,USA,Healthcare,260833.98
49,Bachelor's,Product Manager,14.0,41.4,Other,Canada,Retail,124927.66
36,Bachelor's,Software Engineer,2.8,40.5,Female,USA,Retail,137949.57
36,High School,Product Manager,9.2,49.8,Male,Canada,Healthcare,131397.17
41,Bachelor's,Operations Manager,10.1,45.3,Female,Australia,Manufacturing,112419.94
41,Bachelor's,HR Specialist,16.2,32.4,Male,Canada,Healthcare,129449.57
52,Bachelor's,HR Specialist,14.8,39.0,Male,Australia,Manufacturing,120083.17
27,Bachelor's,HR Specialist,4.4,47.6,Female,Canada,Education,90674.56
29,PhD,Operations Manager,4.3,31.9,Male,India,Finance,67711.54
34,Master's,Sales Executive,12.1,34.1,Female,USA,Finance,194817.19
53,High School,Mechanical Engineer,19.2,45.9,Male,India,Retail,35655.05
40,Bachelor's,Sales Executive,9.5,62.6,Female,India,Technology,65532.44
39,Bachelor's,Software Engineer,9.6,49.0,Male,Canada,Education,103484.54
